date,kick_off,home_team,away_team,league,country,home_odds,draw_odds,away_odds,followed_league,has_picks,pick_count,top_pick_markets
2025-09-12,10:00,Sanna Khanh Hoa,Hòa Bình,Cup,Vietnam,2.0,3.0,3.0,No,No,0,None
2025-09-12,11:00,Maccabi Ahi Nazareth,Tzeirei Kafr Kanna,Liga Alef,Israel,2.0,3.0,3.0,No,No,0,None
2025-09-12,13:00,KAC Kenitra,Raja Beni Mellal,Botola 2,Morocco,2.0,3.0,3.0,No,No,0,None
2025-09-12,13:00,Mouloudia Oujda,Racing de Casablanca,Botola 2,Morocco,2.0,3.0,3.0,No,No,0,None
2025-09-12,13:00,Chabab Mohammédia,Amal Tiznit,Botola 2,Morocco,2.0,3.0,3.0,No,No,0,None
2025-09-12,13:00,Riadi Salmi,Stade Marocain,Botola 2,Morocco,2.0,3.0,3.0,No,No,0,None
2025-09-12,13:00,Chabab Atl. Khenifra,Wydad Fès,Botola 2,Morocco,2.0,3.0,3.0,No,No,0,None
2025-09-12,13:00,El Massira,USM Oujda,Botola 2,Morocco,2.0,3.0,3.0,No,No,0,None
2025-09-12,13:00,Widad Témara,Chabab Ben Guerir,Botola 2,Morocco,2.0,3.0,3.0,No,No,0,None
2025-09-12,15:00,Ilbirs,Alay,Premier League,Kyrgyzstan,2.0,3.0,3.0,No,No,0,None
2025-09-12,15:00,Bishkek City,OshMU Aldier,Premier League,Kyrgyzstan,2.0,3.0,3.0,No,No,0,None
2025-09-12,16:00,Lahti W,TPS,Kansallinen Liiga,Finland,2.0,3.0,3.0,No,No,0,None
2025-09-12,17:00,Ardagger,Zwettl,Landesliga - Niederosterreich,Austria,2.0,3.0,3.0,No,No,0,None
2025-09-12,17:15,VRI,Fuglebakken KFUM,Denmark Series - Group 4,Denmark,2.0,3.0,3.0,No,No,0,None
2025-09-12,18:45,Witham Town,Bowers & Pitsea,Non League Div One - Isthmian North,England,2.0,3.0,3.0,No,No,0,None
2025-09-12,22:00,Atletico Hidalgo,Correcaminos UAT II,Liga Premier Serie A,Mexico,1.91,3.75,3.2,No,No,0,None
2025-09-12,23:00,Charlotte Independence,Naples,USL League One,USA,2.1,3.4,2.9,No,No,0,None
2025-09-12,23:00,North Carolina,El Paso Locomotive,USL Championship,USA,2.3,3.3,2.88,No,No,0,None
2025-09-12,23:00,Crown Legacy,Chattanooga,MLS Next Pro,USA,2.1,3.7,2.7,No,No,0,None
2025-09-12,23:00,Rionegro Aguilas,Independiente Medellin,Primera A,Colombia,3.6,3.0,2.2,No,No,0,None
2025-09-12,23:00,Serra Talhada,Linhares,Capixaba B,Brazil,2.0,3.0,3.0,No,No,0,None
2025-09-12,23:00,Dinamo de Puerto La Cruz,Marítimo,Segunda División,Venezuela,2.3,3.1,2.8,No,No,0,None
2025-09-12,23:00,DC Power W,Lexington W,USL Super League,USA,2.2,3.5,2.7,No,No,0,None
2025-09-12,23:30,Union La Calera,Everton de Vina,Primera División,Chile,3.25,3.0,2.3,No,No,0,None
2025-09-12,23:30,Metropolitanos FC,Estudiantes de Merida FC,Primera División,Venezuela,2.25,3.4,2.7,No,No,0,None
