date,kick_off,home_team,away_team,league,home_odds,draw_odds,away_odds,followed_league,has_picks,pick_count,top_pick_markets
2025-09-09,18:00,Japan,Qatar,WC Qualification Asia,1.52,3.9,11.52,Yes,Yes,2,"Over 9.5 Corners, Home Under 1.5"
2025-09-09,19:00,Cerezo Osaka,Kawasaki Frontale,J1 League,1.47,2.9,-43.58,Yes,Yes,2,"Over 9.5 Corners, Over 2.5"
2025-09-09,19:00,Gamba Osaka,Nagoya Grampus,J1 League,1.44,3.1,-65.06,Yes,Yes,4,"BTTS No, Over 9.5 Corners, Home Under 1.5"
2025-09-09,19:30,Cuiabá,Novorizontino,Brazilian Serie B,2.02,3.9,3.96,Yes,Yes,1,Over 9.5 Corners
2025-09-09,19:30,Team A8,Team A14,Canadian Premier League,1.56,2.9,130.26,Yes,Yes,1,Over 9.5 Corners
2025-09-09,19:30,Suwon Samsung Bluewings,FC Seoul,K League 1,1.76,3.0,10.94,Yes,No,0,None
2025-09-09,19:45,Modena,Brescia,Serie B,1.98,3.1,5.65,Yes,Yes,2,"Over 9.5 Corners, BTTS No"
2025-09-09,19:45,Parma,Bari,Serie B,2.14,4.2,3.42,Yes,Yes,1,Over 9.5 Corners
2025-09-09,20:00,Germany,Denmark,WC Qualification Europe,1.67,3.4,9.55,Yes,Yes,2,"Under 3.5, Under 11.5 Corners"
2025-09-09,20:00,Portugal,Poland,WC Qualification Europe,1.52,3.1,55.7,Yes,Yes,2,"Over 9.5 Corners, Home/Away"
2025-09-09,20:00,Iran,UAE,WC Qualification Asia,1.96,3.7,4.59,Yes,Yes,4,"BTTS No, Under 3.5, Home Under 1.5"
2025-09-09,20:00,Pumas,Santos Laguna,Liga MX,2.09,3.1,5.03,Yes,Yes,2,"BTTS No, Over 9.5 Corners"
2025-09-09,20:00,Atlético Mineiro,São Paulo,Brazilian Serie A,1.76,3.0,10.66,Yes,Yes,2,"Over 1.5, Home Under 1.5"
2025-09-09,20:00,Team A1,Team A8,Argentine Primera División,2.1,3.6,4.08,Yes,Yes,2,"Over 9.5 Corners, Home Under 1.5"
2025-09-09,20:00,Team A1,Team A8,Copa Libertadores,2.0,3.8,4.25,Yes,Yes,1,Over 9.5 Corners
2025-09-09,20:30,Portland Timbers,Atlanta United,MLS,1.53,3.3,21.48,Yes,Yes,2,"Over 1.5, Over 9.5 Corners"
2025-09-09,20:30,Team A6,Team A15,Canadian Premier League,1.79,3.4,6.96,Yes,Yes,3,"Over 1.5, Over 9.5 Corners, Under 3.5"
2025-09-09,21:00,LA Galaxy,Inter Miami,MLS,1.89,4.9,3.77,Yes,Yes,4,"BTTS No, Home Under 1.5, Over 9.5 Corners"
2025-09-09,21:00,Team A8,Team A1,Argentine Primera División,1.67,4.7,5.3,Yes,Yes,2,"Home/Away, Under 11.5 Corners"
2025-09-09,21:00,Team A14,Team A10,Canadian Premier League,2.4,3.4,3.42,Yes,Yes,1,Home/Away
2025-09-09,21:30,Novorizontino,CRB,Brazilian Serie B,2.23,3.1,4.4,Yes,No,0,None
2025-09-09,21:30,Team A5,Team A12,Argentine Primera División,1.41,3.1,-28.48,Yes,Yes,1,Under 11.5 Corners
2025-09-09,22:00,Pumas,Chivas,Liga MX,1.86,2.9,8.59,Yes,Yes,2,"Over 1.5, Over 9.5 Corners"
2025-09-09,23:00,Ecuador,Argentina,WC Qualification Africa,2.0,3.2,3.5,Yes,Yes,3,"Over 9.5 Corners, Home Under 1.5, Home/Away"
2025-09-09,23:30,Bolivia,Brazil,WC Qualification Africa,2.0,3.2,3.5,Yes,Yes,4,"Over 9.5 Corners, Over 1.5, BTTS No"
2025-09-09,23:30,Venezuela,Colombia,WC Qualification Africa,2.0,3.2,3.5,Yes,Yes,4,"BTTS No, Over 9.5 Corners, Home Under 1.5"
2025-09-09,23:30,Chile,Uruguay,WC Qualification Africa,2.0,3.2,3.5,Yes,Yes,1,Over 9.5 Corners
2025-09-09,23:30,Peru,Paraguay,WC Qualification Africa,2.0,3.2,3.5,Yes,Yes,2,"Over 9.5 Corners, Home/Away"
