Report Type,Value
Date,"Wednesday, 2025-09-10"
Total Matches Analyzed,5
High-Value Bets Recommended,3

Rank,Kick Off,League,Home Team,Away Team,Bet Type,Odds,Stake %,Edge %,Confidence %,Quality Score
#1,14:00,Premier League,Molodechno-DYuSSh 4,Neman,Over 9.5 Total Corners,1.84,8.0%,36.6%,74.1%,0.466
#2,00:00,World Cup - Qualification CONCACAF,Curaçao,Bermuda,Over 9.5 Total Corners,1.95,8.0%,41.4%,72.6%,0.430
#3,02:00,World Cup - Qualification CONCACAF,Costa Rica,Haiti,Both Teams to Score - No,2.22,8.0%,38.7%,62.5%,0.408

Summary Metric,Value
Total Portfolio Edge,116.6%
Average Confidence,69.7%
Total Bankroll Risk,24.0%

Market Category,Number of Bets
Corners,2 bets
Both Teams to Score,1 bet
