date,kick_off,home_team,away_team,league,home_odds,draw_odds,away_odds,followed_league,has_picks,pick_count,top_pick_markets
2025-09-08,18:30,Novorizontino,Atlético GO,Brazilian Serie B,2.18,3.05,3.55,Yes,No,0,None
2025-09-08,19:00,Cuiabá,CRB,Brazilian Serie B,2.07,0,3.6,Yes,Yes,1,Over 9.5 Corners
2025-09-08,19:00,Inter Miami,LAFC,MLS,2.35,4.1,3.02,Yes,Yes,1,Over 9.5 Corners
2025-09-08,19:00,Team A13,Team A7,Canadian Premier League,1.8,4.6,4.41,Yes,Yes,3,"Over 1.5, Under 11.5 Corners, Home Under 1.5"
2025-09-08,19:00,Tokyo FC,Nagoya Grampus,J1 League,1.58,3.4,12.94,Yes,Yes,1,Home Under 1.5
2025-09-08,19:45,France,Belgium,WC Qualification Europe,1.95,3.4,4.2,Yes,Yes,1,Over 9.5 Corners
2025-09-08,19:45,Germany,Netherlands,WC Qualification Europe,2.1,3.2,3.8,Yes,Yes,3,"Over 1.5, Over 9.5 Corners, Home/Away"
2025-09-08,19:45,Austria,Czech Republic,WC Qualification Europe,1.85,3.5,4.6,Yes,Yes,2,"BTTS No, Over 9.5 Corners"
2025-09-08,19:45,Manchester United,Brighton,Premier League,2.12,4.1,3.51,Yes,Yes,1,Over 9.5 Corners
2025-09-08,19:45,Team A6,Team A18,Ligue 2,1.55,3.0,46.55,Yes,No,0,None
2025-09-08,19:45,Team A14,Team A17,Ligue 2,1.86,3.7,5.16,Yes,Yes,1,Over 1.5
2025-09-08,19:45,Team A6,Team A19,Scottish Premiership,1.45,3.8,20.13,Yes,No,0,None
2025-09-08,19:45,Belgium,England,WC Qualification Europe,2.04,3.7,4.19,Yes,Yes,3,"Over 1.5, Over 9.5 Corners, Home Under 1.5"
2025-09-08,19:45,Germany,Croatia,WC Qualification Europe,1.65,3.9,7.16,Yes,Yes,1,Over 9.5 Corners
2025-09-08,19:45,Team A10,Team A17,Eliteserien,1.81,5.0,4.04,Yes,Yes,2,"Over 9.5 Corners, Home/Away"
2025-09-08,20:00,England,Italy,WC Qualification Europe,2.3,3.1,3.4,Yes,Yes,2,"Over 9.5 Corners, Over 2.5"
2025-09-08,20:00,Spain,Portugal,WC Qualification Europe,2.05,3.3,3.9,Yes,Yes,3,"Over 9.5 Corners, Home/Away, Home Under 1.5"
2025-09-08,20:00,Switzerland,Sweden,WC Qualification Europe,2.15,3.25,3.7,Yes,Yes,1,Over 9.5 Corners
2025-09-08,20:00,Newcastle,Manchester United,Premier League,1.59,2.9,36.91,Yes,Yes,1,Over 1.5
2025-09-08,20:00,Team A5,Team A17,Bundesliga,1.94,3.0,6.74,Yes,Yes,1,Over 9.5 Corners
2025-09-08,20:00,Team A19,Team A18,Argentine Primera División,2.49,4.2,2.79,Yes,Yes,1,Home Under 1.5
2025-09-08,20:00,Team A17,Team A3,Canadian Premier League,2.13,4.6,3.2,Yes,Yes,2,"Over 1.5, Over 9.5 Corners"
2025-09-08,20:30,Vila Nova,Athletic Club,Brazilian Serie B,2.1,2.8,3.76,Yes,Yes,1,BTTS Yes
2025-09-08,20:45,Poland,Ukraine,WC Qualification Europe,2.2,3.15,3.6,Yes,Yes,1,Home Under 1.5
2025-09-08,20:45,Croatia,Denmark,WC Qualification Europe,2.4,3.05,3.2,Yes,Yes,1,Over 9.5 Corners
2025-09-08,21:00,Inter Miami,Atlanta United,MLS,1.69,3.2,10.11,Yes,Yes,2,"Over 1.5, Home Under 1.5"
2025-09-08,21:00,Atlanta United,New York Red Bulls,MLS,1.79,4.9,4.24,Yes,Yes,1,Over 9.5 Corners
2025-09-08,21:00,Pumas,Cruz Azul,Liga MX,2.21,3.3,4.06,Yes,Yes,2,"Over 11.5 Corners, Over 9.5 Corners"
2025-09-08,21:00,Internacional,Palmeiras,Brazilian Serie A,1.84,3.4,6.13,Yes,Yes,1,Under 11.5 Corners
2025-09-08,21:00,Guarani,Novorizontino,Brazilian Serie B,1.9,4.5,3.99,Yes,Yes,4,"Over 1.5, Home Under 1.5, Over 9.5 Corners"
2025-09-08,21:30,Corinthians,Internacional,Brazilian Serie A,2.56,3.8,2.86,Yes,Yes,1,Over 9.5 Corners
2025-09-08,22:00,América,Cruz Azul,Liga MX,1.49,3.6,18.72,Yes,Yes,2,"Over 9.5 Corners, Home"
