date,kick_off,home_team,away_team,league,country,market,bet_description,odds,recommended_stake_pct,edge_percent,confidence_percent,expected_value,quality_score,risk_level
2025-09-16,18:45,Weston-super-Mare,Taunton Town,FA Cup,England,Over 11.5 Corners,Over 11.5 Total Corners,4.276698146013046,8.0,150.0,58.4,1.5,0.784,High Risk
2025-09-16,18:00,FC OSS,VVV Venlo,Eerste Divisie,Netherlands,Over 11.5 Corners,Over 11.5 Total Corners,4.050118816477093,8.0,136.7,58.4,1.367,0.744,High Risk
2025-09-16,17:00,FC Saarbrücken,SSV Ulm 1846,3. Liga,Germany,Over 11.5 Corners,Over 11.5 Total Corners,3.621822568999904,8.0,111.7,58.4,1.117,0.669,High Risk
2025-09-16,17:00,FC Saarbrücken,SSV Ulm 1846,3. Liga,Germany,Home Over 1.5,Home Team Over 1.5 Goals,3.453680886911515,8.0,106.9,59.9,1.069,0.66,High Risk
2025-09-16,18:00,FC OSS,VVV Venlo,Eerste Divisie,Netherlands,Over 9.5 Corners,Over 9.5 Total Corners,1.9787558471841815,8.0,63.4,82.6,0.634,0.621,Medium Risk
2025-09-16,18:45,Tonbridge Angels,Steyning Town,FA Cup,England,Away,Away Team Win,3.0,8.0,83.6,61.2,0.836,0.596,Medium Risk
2025-09-16,18:45,Witham Town,Mulbarton Wanderers,FA Cup,England,Over 1.5,Over 1.5 Goals,2.223837089292953,8.0,64.2,73.8,0.642,0.588,Medium Risk
2025-09-16,18:45,Horsham,Westfield (Surrey),FA Cup,England,Over 1.5,Over 1.5 Goals,2.217749285862147,8.0,63.0,73.5,0.63,0.583,Medium Risk
2025-09-16,18:45,Worthing,Jersey Bulls,FA Cup,England,Over 9.5 Corners,Over 9.5 Total Corners,1.8579813277172677,8.0,49.6,80.5,0.496,0.571,Medium Risk
2025-09-16,18:00,Helmond Sport,Jong Utrecht,Eerste Divisie,Netherlands,Over 9.5 Corners,Over 9.5 Total Corners,1.8501244162371258,8.0,49.0,80.5,0.49,0.569,Medium Risk
2025-09-16,18:45,Banbury United,Chasetown,FA Cup,England,Over 9.5 Corners,Over 9.5 Total Corners,2.0396273446229642,8.0,54.8,75.9,0.548,0.568,Medium Risk
2025-09-16,17:00,SV Wehen,SSV Jahn Regensburg,3. Liga,Germany,Over 9.5 Corners,Over 9.5 Total Corners,1.9131632091970647,8.0,48.6,77.7,0.486,0.557,Medium Risk
2025-09-16,18:45,Banbury United,Chasetown,FA Cup,England,BTTS No,Both Teams to Score - No,2.63,8.0,67.4,63.6,0.674,0.557,Medium Risk
2025-09-16,18:00,Waalwijk,Vitesse,Eerste Divisie,Netherlands,Over 11.5 Corners,Over 11.5 Total Corners,2.4198882124209433,8.0,61.5,66.8,0.615,0.552,Medium Risk
2025-09-16,17:00,FC Saarbrücken,SSV Ulm 1846,3. Liga,Germany,Over 9.5 Corners,Over 9.5 Total Corners,1.9901363057808596,8.0,49.7,75.2,0.497,0.55,Medium Risk
2025-09-16,18:00,MVV,Den Bosch,Eerste Divisie,Netherlands,Over 9.5 Corners,Over 9.5 Total Corners,1.7624194252396281,8.0,41.9,80.5,0.419,0.548,Low Risk
2025-09-16,18:45,Wythenshawe Town,Bury,FA Trophy,England,Over 1.5,Over 1.5 Goals,1.9267314493157726,8.0,46.7,76.1,0.467,0.545,Medium Risk
2025-09-16,17:00,Verl,Alemannia Aachen,3. Liga,Germany,Over 1.5,Over 1.5 Goals,1.9856404770225788,8.0,46.6,73.8,0.466,0.535,Medium Risk
2025-09-16,18:45,Dagenham & Redbridge,Bedford Town,FA Cup,England,BTTS No,Both Teams to Score - No,2.51,8.0,59.7,63.6,0.597,0.534,Medium Risk
2025-09-16,18:45,Evesham United,Racing Club Warwick,FA Cup,England,Over 9.5 Corners,Over 9.5 Total Corners,1.706220058968362,8.0,37.1,80.4,0.371,0.533,Low Risk
2025-09-16,18:00,Helmond Sport,Jong Utrecht,Eerste Divisie,Netherlands,Over 11.5 Corners,Over 11.5 Total Corners,2.713234836339142,8.0,63.4,60.2,0.634,0.531,Medium Risk
2025-09-16,18:45,Banbury United,Chasetown,FA Cup,England,Over 1.5,Over 1.5 Goals,1.9510329360427854,8.0,44.1,73.8,0.441,0.528,Medium Risk
2025-09-16,17:00,FC Viktoria Köln,Hoffenheim II,3. Liga,Germany,Over 11.5 Corners,Over 11.5 Total Corners,2.666696480747878,8.0,60.6,60.2,0.606,0.523,Medium Risk
2025-09-16,18:00,FC OSS,VVV Venlo,Eerste Divisie,Netherlands,BTTS No,Both Teams to Score - No,2.57,8.0,55.8,60.6,0.558,0.51,Medium Risk
2025-09-16,18:45,Worthing,Jersey Bulls,FA Cup,England,Over 11.5 Corners,Over 11.5 Total Corners,2.5828752689404766,8.0,55.5,60.2,0.555,0.507,Medium Risk
